Name,PerkOne,PerkTwo,PerkThree,PerkFour
Angel's Advocate,Reflex,Outlaw,Explosive Rounds,Firefly
Badger CCL,Red Dot-OAS,Triple Tap,Explosive Rounds,Army of One
Burning Eye,Accurized Ballistics,Smallbore,Explosive Rounds,Third Eye/Zen Moment
Cocytus SR4,Torch HS2,Triple Tap,Extended Mag,Firefly
Colovance's Duty,Red Dot-OAS,Triple Tap,Field Scout,Firefly
Cryptic Dragon,Red Dot-OAS,Triple Tap,Explosive Rounds,Firefly
The Distant Star,Iron Ranged Scope,Triple Tap,Perfect Balance,Extended Mag
Hand of Judgement,Red Dot-OAS,Perfect Balance,Explosive Rounds,Firefly
The Hero Formula,Reflex,Outlaw,Explosive Rounds,Firefly
Keystone 01,Reflex,Triple Tap,Extended Mag,Firefly
Lethe Noblesse,Reflex,Triple Tap,Explosive Rounds,Army of One
NL Shadow 701X,Red Dot-OAS,Triple Tap,Field Scout,Army of One
Not Like the Others,Reflex,Triple Tap,Perfect Balance,Firefly
The Saterienne Rapier,Red Dot-OAS,Triple Tap,Field Scout,Army of One
SUROS DIS-43,SPO-28,Perfect Balance,Spray and Play,Speed Reload
SUROS DIS-47,SPO-28,Perfect Balance,Spray and Play,Speed Reload
Treads Upon Stars,Red Dot-OAS,Triple Tap,Field Scout,Army of One
Tuonela SR4,Torch HS2,Triple Tap,Extended Mag,Firefly
The Wounded,Reflex,Triple Tap,Extended Mag,Firefly
Aegis of the Reef,Red Dot-OAS/SureShot IS,Perfect Balance,High Caliber Rounds,Counterbalance
Apple of Discord,SC Holo,Headseeker,Counterbalance,Hand-laid Stock
Blind Perdition,Smooth Ballistics/Smart Drift Control,Hand-laid Stock/Smallbore,High Caliber Rounds/Hand Loaded,Outlaw/Counterbalance
B-29 Party Favor,Reflex,Feeding Frenzy,Perfect Balance,Headseeker
The Clever Dragon,Iron Red Dot,Smallbore,High Caliber Rounds,Counterbalance
Final Duty,Reflex,Counterbalance,Braced Frame,Feeding Frenzy
Grasp of Malok,Red Dot-OAS,Counterbalance,Braced Frame/Smallbore/Perfect Balance,Feeding Frenzy
Hawksaw,SPO-28,Perfect Balance,Counterbalance,Rifled Barrel
Herja-D,SC Holo,Headseeker,Counterbalance,Hand-laid Stock
Hopscotch Pilgrim,Red Dot-OAS,Headseeker,Perfect Balance,Feeding Frenzy
Lyudmila-D,SC Holo,Headseeker,Counterbalance,Hand-laid Stock
Nirwen's Mercy,Red Dot-OAS,Counterbalance,Braced Frame,Feeding Frenzy
Parthian Shot,Reflex,Feeding Frenzy,Hand-laid Stock,Headseeker
Spare Change .25,Red Dot-OAS,Counterbalance,Braced Frame,Feeding Frenzy
SUROS PDX-41,SPO-28,Perfect Balance,Counterbalance,Rifled Barrel/Smallbore
SUROS PDX-45,SPO-28,Perfect Balance,Counterbalance,Rifled Barrel/Smallbore
The Villainy,Red Dot-OAS,Counterbalance,Braced Frame,Feeding Frenzy
The Waltz,Reflex,Feeding Frenzy,High Caliber Rounds,Headseeker
Byronic Hero,SureShot IS/TrueSight IS,Spray and Play,Extended Mag,Luck in the Chamber
The Devil You Know,SureShot IS/TrueSight IS,Outlaw,Explosive Rounds,Luck in the Chamber
Down and Doubt 00-0,SureShot IS/TrueSight IS,Luck in the Chamber,Extended Mag,Firefly
Eyasluna,SureShot IS/TrueSight IS,Spray and Play,Extended Mag,Army of One
Finnala's Peril,SureShot IS/TrueSight IS,Spray and Play,Extended Mag,Army of One
Free Will III,SureShot IS/TrueSight IS,Outlaw,Explosive Rounds,Firefly
Gatheris-D,SureShot IS/TrueSight IS,Army of One,Spray and Play,Speed Reload
Her Revenge,SureShot IS/TrueSight IS,Spray and Play,Extended Mag,Army of One
How Dare You,SureShot IS/TrueSight IS,Spray and Play,High Caliber Rounds,Luck in the Chamber
Ill Will,SureShot IS/TrueSight IS,Outlaw,Extended Mag,Luck in the Chamber
Imago Loop (Fatebringer Roll),SureShot IS/TrueSight IS,Outlaw,Explosive Rounds,Firefly
Judith-D,SureShot IS/TrueSight IS,Army of One,Spray and Play,Speed Reload
